amount,constraint,nutrient
0.21,min,biotin
7000,min,calcium
15351,min,calories
3850,min,choline
0.245,min,chromium
6.3,min,copper
2.8,min,folate_dfe
1.05,min,iodine
56,min,iron
2940,min,magnesium
16.1,min,manganese
0.315,min,molybdenum
112,min,niacin_ne
1.12,min,o3_epa_dha_dpa
35,min,pantothenic_acid
4900,min,phosphorus
32900,min,potassium
392,min,protein
9.1,min,riboflavin
0.385,min,selenium
8.4,min,thiamin
105,min,vit_e_a_tocopherol
6.3,min,vitamin_a_rae
0.0168,min,vitamin_b12
9.1,min,vitamin_b6
630,min,vitamin_c
0.84,min,vitamin_k1
77,min,zinc
